,features
RIMS2_ABCA1,0.19747860457123223
FN1_FLT4,0.14114145131052633
MMP9_TLR9,0.12626348275045526
FGF1_FGFR3,0.10972302911480065
TAC4_TACR2,0.1009431578096095
B2M_HLA-F,0.0777791534634853
WNT1_FZD5,0.07745610571238784
CXCL9_DPP4,0.0671286249507361
TGFB1_SMAD3,0.05036681715575621
LAMA1_RPSA,0.027657444005270086
SPTAN1_PTPRA,0.014093099871880914
LGALS8_ITGA3,0.007254126947221584
EFNA3_EPHB1,0.0014684822447146664
FADD_FAS,0.0012464200919234645
ANGPTL3_ITGAV,0.0
COL1A2_ITGAV,0.0
CALR_ITGAV,0.0
COL4A1_ITGAV,0.0
ADAM15_ITGAV,0.0
VEGFA_ITGAV,0.0
ADAM9_ITGAV,0.0
FN1_ITGAV,0.0
AZGP1_ITGAV,0.0
CP_SLC40A1,0.0
FBN1_ITGAV,0.0
MFGE8_ITGAV,0.0
COL4A3_ITGAV,0.0
FGG_ITGAV,0.0
SPP1_ITGAV,0.0
COL4A4_ITGAV,0.0
ICAM4_ITGAV,0.0
HRAS_TLR2,0.0
SFTPA1_TLR2,0.0
RNASE2_TLR2,0.0
MDK_SORL1,0.0
LRPAP1_SORL1,0.0
APP_SORL1,0.0
L1CAM_ITGAV,0.0
TNC_ITGAV,0.0
PLAU_ITGAV,0.0
EDIL3_ITGAV,0.0
COL4A6_ITGAV,0.0
COL4A5_ITGAV,0.0
IGFBP4_LRP6,0.0
NID1_ITGAV,0.0
PDGFB_ITGAV,0.0
SOSTDC1_LRP6,0.0
SEMA3F_PLXNA3,0.0
RSPO1_LRP6,0.0
PDGFC_FLT4,0.0
TNF_FLT4,0.0
VEGFD_FLT4,0.0
COL1A2_FLT4,0.0
ADCYAP1_VIPR2,0.0
VIP_VIPR2,0.0
LGALS3BP_CD33,0.0
IL12A_IL12RB2,0.0
ASIP_MGRN1,0.0
F2_ITGA2B,0.0
ICAM4_ITGA2B,0.0
CALR_ITGA2B,0.0
FGG_ITGA2B,0.0
COL2A1_ITGA2B,0.0
COL1A2_ITGA2B,0.0
FN1_ITGA2B,0.0
CALM1_GLP2R,0.0
SEMA6D_TYROBP,0.0
VEGFC_FLT4,0.0
PDGFA_PDGFRB,0.0
WNT1_LRP6,0.0
MFGE8_PDGFRB,0.0
RSPO3_LRP6,0.0
VCAN_TLR2,0.0
WNT2_LRP6,0.0
APP_LRP6,0.0
CKLF_LRP6,0.0
WNT5A_LRP6,0.0
DKK1_LRP6,0.0
DKK2_LRP6,0.0
WNT3A_LRP6,0.0
DSC3_DSG2,0.0
DSC2_DSG2,0.0
TNFSF13B_TNFRSF13B,0.0
TNFSF13_TNFRSF13B,0.0
SAA1_SCARB1,0.0
PDGFC_PDGFRB,0.0
PDGFB_PDGFRB,0.0
PDGFD_PDGFRB,0.0
ZG16B_TLR2,0.0
HSP90B1_TLR2,0.0
SAA1_TLR2,0.0
AGT_MAS1,0.0
CCL8_ACKR4,0.0
S100A9_CD68,0.0
S100A8_CD68,0.0
PDGFB_ART1,0.0
HLA-A_LILRA1,0.0
HLA-C_LILRA1,0.0
HLA-B_LILRA1,0.0
AFDN_NECTIN2,0.0
ADCYAP1_RAMP2,0.0
ADM_RAMP1,0.0
CALCA_RAMP2,0.0
